country_id,country_name,powerplant_name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel_id,primary_fuel,source,url,geolocation_source,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017
1,Australia,Rubicon,AUS0000095,1355,-37.3272,145.8605,4,Hydro,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,38716944444444400,40664722222222200,4644611111111110,4604472222222220,489375
1,Australia,Shepparton Biogas Generation Plant,AUS0000017,11,-36.3218,145.3790,3,Waste,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,5734444444444440,4840833333333330,4700833333333330,4356944444444440,5606111111111110
1,Australia,Smithfield Energy,AUS0000286,1709,-33.8500,150.9495,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,10010275,9890983333333330,9685383333333330,9709952777777780,9793944444444440
1,Australia,Snowtown North,AUS0000005,1480,-33.7215,138.1471,1,Wind,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,38326666666666700,39783,34157666666666700,3484372222222220,31042555555555600
1,Australia,Snuggery,AUS0000245,630,-37.6646,140.4156,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,30972222222222200,875,375,9858333333333330,31969444444444400
1,Australia,Somerton,AUS0000096,1600,-37.6318,144.9531,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,1620916666666670,11363055555555600,10463611111111100,11646666666666700,2914388888888890
1,Australia,South Cardup (Shale Road Landfill),AUS0000359,33,-32.2664,116.0193,3,Waste,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2747833333333330,27102222222222200,26139166666666700,279825,25131944444444400
1,Australia,Springvale,AUS0000071,42,-37.9733,145.1396,3,Waste,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,19836666666666700,19435555555555600,16669444444444400,14785833333333300,14281944444444400
1,Australia,Stanwell,AUS0000168,14600,-23.5097,150.3195,5,Coal,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,8216953611111110,8418935555555560,8754479166666670,9089362222222220,9267250277777780
1,Australia,Starfish Hill Wind Farm,AUS0000052,345,-35.5678,138.1432,1,Wind,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,7263138888888890,10010388888888900,9082305555555560,906775,63833888888888900
1,Australia,Studland Bay (Woolnorth) Wind Farm,AUS0000010,750,-40.7788,144.7362,1,Wind,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,26659527777777800,2888222222222220,280075,27126416666666700,26640472222222200
1,Australia,Tahmoor,AUS0000287,70,-34.2482,150.5808,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,29754722222222200,34265277777777800,4645583333333330,3891555555555560,28237222222222200
1,Australia,Tallawarra,AUS0000288,4600,-34.5228,150.8081,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,2840058611111110,3283508611111110,2082391666666670,18660408333333300,8030308333333330
1,Australia,Tamala Park,AUS0000356,465,-31.7078,115.7266,3,Waste,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,36005,3355444444444440,31880555555555600,416,4034444444444440
1,Australia,Tamar Valley,AUS0000138,3900,-41.1401,146.9036,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,16863722222222200,8716247222222220,17671944444444400,7808641666666670,7938358333333330
1,Australia,Tarraleah,AUS0000119,900,-42.3012,146.4572,4,Hydro,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,6231661111111110,5756097222222220,6320111111111110,44832666666666700,5510427777777780
1,Australia,Tennant Creek,AUS0000253,167,-19.6549,134.1753,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,31775277777777800,32055,3032888888888890,3066888888888890,294025
1,Australia,The Drop,AUS0000011,30,-35.6043,145.7837,4,Hydro,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,7658888888888890,6122777777777780,7834722222222220,394,5364444444444440
1,Australia,Toora Wind Farm,AUS0000069,210,-38.6451,146.3441,1,Wind,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,5276916666666670,63594166666666700,5166722222222220,51826388888888900,4951444444444440
1,Australia,Tower Mine,AUS0000291,412,-34.2207,150.7179,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,20952083333333300,24506222222222200,20203527777777800,23503027777777800,26909027777777800
1,Australia,Townsville,AUS0000172,2200,-19.2011,146.6187,2,Gas,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,6056180555555550,27147083333333300,8077194444444440,17480805555555600,5245472222222220
1,Australia,Trevallyn,AUS0000032,800,-41.4226,147.1119,4,Hydro,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,5234597222222220,5361694444444440,3489186111111110,3812763888888890,439575
1,Australia,Tribute,AUS0000128,828,-41.8129,145.6538,4,Hydro,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,19294583333333300,2586025,21901555555555600,18249777777777800,24555916666666700
1,Australia,Tungatinah,AUS0000117,1250,-42.2967,146.4565,4,Hydro,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,5288736111111110,6634572222222220,42520222222222200,5088408333333330,5318688888888890
1,Australia,Upper Lake Margaret,AUS0000133,84,-42.0046,145.5437,4,Hydro,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,3787,264975,4725861111111110,4223083333333330,4812861111111110
1,Australia,Vales Point B,AUS0000295,13600,-33.1607,151.5431,5,Coal,Australian Renewable Energy Mapping Infrastructure,http://services.ga.gov.au/site_3/rest/services/Electricity_Infrastructure/MapServer,Australian Renewable Energy Mapping Infrastructure,7526108333333330,6814325555555550,6936854166666670,7703255277777780,8130714722222220
